era,year,month,sector,variable,spread,n_products,max_val,min_val
CS2,2014,5,Western_Pacific,hsc,0.00825919397175312,5,0.030637215822935104,0.022378021851181984
CS2,2014,5,Western_Weddell,hfr,0.09670688211917877,5,0.23266620934009552,0.13595932722091675
CS2,2014,5,Western_Weddell,hfi,0.11150054633617401,5,0.3246901035308838,0.21318955719470978
CS2,2014,5,Western_Weddell,hs,0.2389904409646988,5,0.43593379855155945,0.19694335758686066
CS2,2014,5,Western_Weddell,hsc,0.041240740567445755,5,0.0884464904665947,0.04720574989914894
CS2,2014,6,Amundsen_Bellingshausen,hfr,0.04648954048752785,5,0.09840210527181625,0.051912564784288406
CS2,2014,6,Amundsen_Bellingshausen,hfi,0.03778237849473953,5,0.12885206937789917,0.09106969088315964
CS2,2014,6,Amundsen_Bellingshausen,hs,0.057515501976013184,5,0.1661648154258728,0.10864931344985962
CS2,2014,6,Amundsen_Bellingshausen,hsc,0.008968386799097061,5,0.0393211729824543,0.03035278618335724
CS2,2014,6,Eastern_Weddell,hfr,0.04261239245533943,5,0.08503032475709915,0.04241793230175972
CS2,2014,6,Eastern_Weddell,hfi,0.04733791947364807,5,0.12897571921348572,0.08163779973983765
CS2,2014,6,Eastern_Weddell,hs,0.07591059803962708,5,0.20505642890930176,0.12914583086967468
CS2,2014,6,Eastern_Weddell,hsc,0.008697759360074997,5,0.044776551425457,0.036078792065382004
CS2,2014,6,Indian,hfr,0.02291141077876091,5,0.05907720327377319,0.03616579249501228
CS2,2014,6,Indian,hfi,0.017864961177110672,5,0.07883169502019882,0.06096673384308815
CS2,2014,6,Indian,hs,0.06019427627325058,5,0.1494426727294922,0.08924839645624161
CS2,2014,6,Indian,hsc,0.010477988049387932,5,0.03263261169195175,0.02215462364256382
CS2,2014,6,Ross,hfr,0.041177958250045776,5,0.09203460812568665,0.05085664987564087
CS2,2014,6,Ross,hfi,0.039200782775878906,5,0.12767185270786285,0.08847106993198395
CS2,2014,6,Ross,hs,0.06653441488742828,5,0.1738896518945694,0.10735523700714111
CS2,2014,6,Ross,hsc,0.007979638874530792,5,0.03797090798616409,0.0299912691116333
CS2,2014,6,Western_Pacific,hfr,0.03528008610010147,5,0.12302301079034805,0.08774292469024658
CS2,2014,6,Western_Pacific,hfi,0.04154117405414581,5,0.16085006296634674,0.11930888891220093
CS2,2014,6,Western_Pacific,hs,0.08199359476566315,5,0.17501799762248993,0.09302440285682678
CS2,2014,6,Western_Pacific,hsc,0.012229550629854202,5,0.03821729123592377,0.025987740606069565
CS2,2014,6,Western_Weddell,hfr,0.08249383419752121,5,0.199654683470726,0.1171608492732048
CS2,2014,6,Western_Weddell,hfi,0.10157719254493713,5,0.29886099696159363,0.1972838044166565
CS2,2014,6,Western_Weddell,hs,0.24217142164707184,5,0.4421118497848511,0.19994042813777924
CS2,2014,6,Western_Weddell,hsc,0.04593280702829361,5,0.09654046595096588,0.05060765892267227
CS2,2014,7,Amundsen_Bellingshausen,hfr,0.04571348801255226,5,0.09467266499996185,0.04895917698740959
CS2,2014,7,Amundsen_Bellingshausen,hfi,0.03787221759557724,5,0.13069628179073334,0.0928240641951561
CS2,2014,7,Amundsen_Bellingshausen,hs,0.06687913089990616,5,0.1842547506093979,0.11737561970949173
CS2,2014,7,Amundsen_Bellingshausen,hsc,0.011170703917741776,5,0.043961312621831894,0.03279060870409012
CS2,2014,7,Eastern_Weddell,hfr,0.058696869760751724,5,0.11807423084974289,0.059377361088991165
CS2,2014,7,Eastern_Weddell,hfi,0.06883710622787476,5,0.17201843857765198,0.10318133234977722
CS2,2014,7,Eastern_Weddell,hs,0.10884653031826019,5,0.2463926523923874,0.1375461220741272
CS2,2014,7,Eastern_Weddell,hsc,0.01537727564573288,5,0.05380281060934067,0.03842553496360779
CS2,2014,7,Indian,hfr,0.024675756692886353,5,0.06790635734796524,0.04323060065507889
CS2,2014,7,Indian,hfi,0.023644760251045227,5,0.0933884009718895,0.06974364072084427
CS2,2014,7,Indian,hs,0.06363559514284134,5,0.16110901534557343,0.09747342020273209
CS2,2014,7,Indian,hsc,0.010342268273234367,5,0.03518010303378105,0.024837834760546684
CS2,2014,7,Ross,hfr,0.044487908482551575,5,0.09839316457509995,0.05390525609254837
CS2,2014,7,Ross,hfi,0.05096155405044556,5,0.14947275817394257,0.09851120412349701
CS2,2014,7,Ross,hs,0.11502929031848907,5,0.22331108152866364,0.10828179121017456
CS2,2014,7,Ross,hsc,0.018512554466724396,5,0.048762671649456024,0.03025011718273163
CS2,2014,7,Western_Pacific,hfr,0.03349795937538147,5,0.13630445301532745,0.10280649363994598
CS2,2014,7,Western_Pacific,hfi,0.036622077226638794,5,0.171428844332695,0.1348067671060562
CS2,2014,7,Western_Pacific,hs,0.06017627567052841,5,0.16538436710834503,0.10520809143781662
CS2,2014,7,Western_Pacific,hsc,0.006722245365381241,5,0.0361136756837368,0.02939143031835556
CS2,2014,7,Western_Weddell,hfr,0.07744494825601578,5,0.18598106503486633,0.10853611677885056
CS2,2014,7,Western_Weddell,hfi,0.1007380485534668,5,0.2871490716934204,0.1864110231399536
CS2,2014,7,Western_Weddell,hs,0.250900998711586,5,0.44685518741607666,0.19595418870449066
CS2,2014,7,Western_Weddell,hsc,0.04283353313803673,5,0.09757622331380844,0.05474269017577171
CS2,2014,8,Amundsen_Bellingshausen,hfr,0.05125361680984497,5,0.11377787590026855,0.06252425909042358
CS2,2014,8,Amundsen_Bellingshausen,hfi,0.04512690752744675,5,0.15066374838352203,0.10553684085607529
CS2,2014,8,Amundsen_Bellingshausen,hs,0.07375107705593109,5,0.18430498242378235,0.11055390536785126
CS2,2014,8,Amundsen_Bellingshausen,hsc,0.012174319475889206,5,0.04305918142199516,0.030884861946105957
CS2,2014,8,Eastern_Weddell,hfr,0.06659624725580215,5,0.12658020853996277,0.059983961284160614
CS2,2014,8,Eastern_Weddell,hfi,0.0769134983420372,5,0.18363820016384125,0.10672470182180405
CS2,2014,8,Eastern_Weddell,hs,0.11196669936180115,5,0.2644830048084259,0.15251630544662476
CS2,2014,8,Eastern_Weddell,hsc,0.015145387500524521,5,0.0577530674636364,0.04260767996311188
CS2,2014,8,Indian,hfr,0.02812858670949936,5,0.0731908306479454,0.045062243938446045
CS2,2014,8,Indian,hfi,0.02868083119392395,5,0.1008005142211914,0.07211968302726746
CS2,2014,8,Indian,hs,0.04737544804811478,5,0.14620572328567505,0.09883027523756027
CS2,2014,8,Indian,hsc,0.007219228893518448,5,0.03192579001188278,0.024706561118364334
CS2,2014,8,Ross,hfr,0.05110287666320801,5,0.11749455332756042,0.06639167666435242
CS2,2014,8,Ross,hfi,0.05217461287975311,5,0.16748781502246857,0.11531320214271545
CS2,2014,8,Ross,hs,0.10529064387083054,5,0.22343610227108002,0.11814545840024948
CS2,2014,8,Ross,hsc,0.01591586321592331,5,0.04892153665423393,0.03300567343831062
CS2,2014,8,Western_Pacific,hfr,0.036055922508239746,5,0.13291457295417786,0.09685865044593811
CS2,2014,8,Western_Pacific,hfi,0.03711821138858795,5,0.16441388428211212,0.12729567289352417
CS2,2014,8,Western_Pacific,hs,0.0693625658750534,5,0.17831341922283173,0.10895085334777832
CS2,2014,8,Western_Pacific,hsc,0.008499860763549805,5,0.03893688693642616,0.030437026172876358
CS2,2014,8,Western_Weddell,hfr,0.06937748193740845,5,0.18062174320220947,0.11124426126480103
CS2,2014,8,Western_Weddell,hfi,0.09119454026222229,5,0.2766997516155243,0.185505211353302
CS2,2014,8,Western_Weddell,hs,0.20864158868789673,5,0.43420717120170593,0.2255655825138092
CS2,2014,8,Western_Weddell,hsc,0.039028577506542206,5,0.09481437504291534,0.05578579753637314
CS2,2014,9,Amundsen_Bellingshausen,hfr,0.045987650752067566,5,0.135846346616745,0.08985869586467743
CS2,2014,9,Amundsen_Bellingshausen,hfi,0.03888446092605591,5,0.1772277057170868,0.13834324479103088
CS2,2014,9,Amundsen_Bellingshausen,hs,0.08224818110466003,5,0.2045232653617859,0.12227508425712585
CS2,2014,9,Amundsen_Bellingshausen,hsc,0.014393050223588943,5,0.04855239763855934,0.0341593474149704
CS2,2014,9,Eastern_Weddell,hfr,0.07284393161535263,5,0.1368023306131363,0.06395839899778366
CS2,2014,9,Eastern_Weddell,hfi,0.07793692499399185,5,0.18586638569831848,0.10792946070432663
CS2,2014,9,Eastern_Weddell,hs,0.06727266311645508,5,0.2280886024236679,0.16081593930721283
CS2,2014,9,Eastern_Weddell,hsc,0.005834858864545822,5,0.0498059056699276,0.043971046805381775
CS2,2014,9,Indian,hfr,0.0274832621216774,5,0.0652509480714798,0.0377676859498024
CS2,2014,9,Indian,hfi,0.03163687139749527,5,0.09656580537557602,0.06492893397808075
CS2,2014,9,Indian,hs,0.07203585654497147,5,0.17364630103111267,0.1016104444861412
CS2,2014,9,Indian,hsc,0.014077311381697655,5,0.037917766720056534,0.02384045533835888
CS2,2014,9,Ross,hfr,0.06724966317415237,5,0.13736611604690552,0.07011645287275314
CS2,2014,9,Ross,hfi,0.0671476274728775,5,0.18141977488994598,0.11427214741706848
CS2,2014,9,Ross,hs,0.06803791224956512,5,0.20150870084762573,0.1334707885980606
CS2,2014,9,Ross,hsc,0.006868667900562286,5,0.044155701994895935,0.03728703409433365
CS2,2014,9,Western_Pacific,hfr,0.038755424320697784,5,0.12588489055633545,0.08712946623563766
CS2,2014,9,Western_Pacific,hfi,0.031656332314014435,5,0.15348318219184875,0.12182684987783432
CS2,2014,9,Western_Pacific,hs,0.07156804949045181,5,0.1957690566778183,0.12420100718736649
CS2,2014,9,Western_Pacific,hsc,0.013224905356764793,5,0.04274853691458702,0.029523631557822227
CS2,2014,9,Western_Weddell,hfr,0.06496787816286087,5,0.16745086014270782,0.10248298197984695
CS2,2014,9,Western_Weddell,hfi,0.08312338590621948,5,0.25076743960380554,0.16764405369758606
CS2,2014,9,Western_Weddell,hs,0.17974886298179626,5,0.3782103359699249,0.19846147298812866
CS2,2014,9,Western_Weddell,hsc,0.02843240648508072,5,0.08258679509162903,0.05415438860654831
CS2,2014,10,Amundsen_Bellingshausen,hfr,0.06976666301488876,5,0.12676456570625305,0.05699790269136429
CS2,2014,10,Amundsen_Bellingshausen,hfi,0.06920160353183746,5,0.17332059144973755,0.10411898791790009
CS2,2014,10,Amundsen_Bellingshausen,hs,0.11180944740772247,5,0.24320101737976074,0.13139156997203827
CS2,2014,10,Amundsen_Bellingshausen,hsc,0.016249023377895355,5,0.05186520516872406,0.035616181790828705
CS2,2014,10,Eastern_Weddell,hfr,0.0853998214006424,5,0.13773001730442047,0.052330195903778076
CS2,2014,10,Eastern_Weddell,hfi,0.10020946711301804,5,0.19179299473762512,0.09158352762460709
CS2,2014,10,Eastern_Weddell,hs,0.07061439752578735,5,0.2350233793258667,0.16440898180007935
CS2,2014,10,Eastern_Weddell,hsc,0.010867908596992493,5,0.0501212440431118,0.03925333544611931
CS2,2014,10,Indian,hfr,0.06160375941544771,5,0.07256921380758286,0.010965454392135143
CS2,2014,10,Indian,hfi,0.06563788279891014,5,0.10821337252855301,0.04257548972964287
CS2,2014,10,Indian,hs,0.10625734180212021,5,0.2049378901720047,0.09868054836988449
CS2,2014,10,Indian,hsc,0.0226605124771595,5,0.04370518773794174,0.021044675260782242
CS2,2014,10,Ross,hfr,0.05815884470939636,5,0.11733650416135788,0.05917765945196152
CS2,2014,10,Ross,hfi,0.07005280256271362,5,0.1705627143383026,0.10050991177558899
