reference,year,month,item,value
LEGOS_II,2017,6,ref_hs_summary,n=2942 mean=0.1358 std=0.0868
LEGOS_II,2017,6,caseD_hfi_hash_CCI_CS2,a7a39780a7f2
LEGOS_II,2017,7,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2017,7,ref_hs_hash,6fef3b5fde28
LEGOS_II,2017,7,ref_hs_summary,n=3926 mean=0.1516 std=0.0924
LEGOS_II,2017,7,caseD_hfi_hash_CCI_CS2,bc652dfd35ce
LEGOS_II,2017,8,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2017,8,ref_hs_hash,afed988b8c73
LEGOS_II,2017,8,ref_hs_summary,n=4343 mean=0.1645 std=0.0970
LEGOS_II,2017,8,caseD_hfi_hash_CCI_CS2,ee9df19a40d0
LEGOS_II,2017,9,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2017,9,ref_hs_hash,c8e8b4828c3c
LEGOS_II,2017,9,ref_hs_summary,n=4004 mean=0.1844 std=0.1090
LEGOS_II,2017,9,caseD_hfi_hash_CCI_CS2,ccecc5c5817e
LEGOS_II,2017,10,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2017,10,ref_hs_hash,a7a7bd86710f
LEGOS_II,2017,10,ref_hs_summary,n=4680 mean=0.2316 std=0.1436
LEGOS_II,2017,10,caseD_hfi_hash_CCI_CS2,8d9c34b032c1
LEGOS_II,2018,5,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2018,5,ref_hs_hash,b2f91bb9310b
LEGOS_II,2018,5,ref_hs_summary,n=2747 mean=0.1887 std=0.1414
LEGOS_II,2018,5,caseD_hfi_hash_CCI_CS2,ce08b145f311
LEGOS_II,2018,6,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2018,6,ref_hs_hash,481266ab35e8
LEGOS_II,2018,6,ref_hs_summary,n=3844 mean=0.1817 std=0.1308
LEGOS_II,2018,6,caseD_hfi_hash_CCI_CS2,b7a35ed1ef06
LEGOS_II,2018,7,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2018,7,ref_hs_hash,509d0cb04bbe
LEGOS_II,2018,7,ref_hs_summary,n=4701 mean=0.1760 std=0.1209
LEGOS_II,2018,7,caseD_hfi_hash_CCI_CS2,984e3d0baf9e
LEGOS_II,2018,8,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2018,8,ref_hs_hash,85d165e57b29
LEGOS_II,2018,8,ref_hs_summary,n=5097 mean=0.1882 std=0.1225
LEGOS_II,2018,8,caseD_hfi_hash_CCI_CS2,a887e7e698dc
LEGOS_II,2018,9,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2018,9,ref_hs_hash,c0d52aa1c0b0
LEGOS_II,2018,9,ref_hs_summary,n=5281 mean=0.2021 std=0.1327
LEGOS_II,2018,9,caseD_hfi_hash_CCI_CS2,374ad7d95e30
LEGOS_II,2018,10,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2018,10,ref_hs_hash,c2d550cb3938
LEGOS_II,2018,10,ref_hs_summary,n=5110 mean=0.2075 std=0.1380
LEGOS_II,2018,10,caseD_hfi_hash_CCI_CS2,c456bd26dccb
CLIMATOLOGY,2013,5,ref_hs_source,"DICT:climatology[(2013, 5)]"
CLIMATOLOGY,2013,5,ref_hs_hash,ba9acbb5c116
CLIMATOLOGY,2013,5,ref_hs_summary,n=4518 mean=0.1305 std=0.0757
CLIMATOLOGY,2013,5,cci_check_hash,8874f7328c19
CLIMATOLOGY,2013,5,caseD_hfi_hash_CCI_CS2,bd7bd681a7d7
CLIMATOLOGY,2013,6,ref_hs_source,"DICT:climatology[(2013, 6)]"
CLIMATOLOGY,2013,6,ref_hs_hash,747ad65aea1e
CLIMATOLOGY,2013,6,ref_hs_summary,n=5788 mean=0.1375 std=0.0768
CLIMATOLOGY,2013,6,cci_check_hash,31f9343eeab0
CLIMATOLOGY,2013,6,caseD_hfi_hash_CCI_CS2,4398eb0488e5
CLIMATOLOGY,2013,7,ref_hs_source,"DICT:climatology[(2013, 7)]"
CLIMATOLOGY,2013,7,ref_hs_hash,c537a074f0b5
CLIMATOLOGY,2013,7,ref_hs_summary,n=6771 mean=0.1511 std=0.0747
CLIMATOLOGY,2013,7,cci_check_hash,8138a5cdddf7
CLIMATOLOGY,2013,7,caseD_hfi_hash_CCI_CS2,145d5d53af0f
CLIMATOLOGY,2013,8,ref_hs_source,"DICT:climatology[(2013, 8)]"
CLIMATOLOGY,2013,8,ref_hs_hash,26953774ed7d
CLIMATOLOGY,2013,8,ref_hs_summary,n=7529 mean=0.1539 std=0.0799
CLIMATOLOGY,2013,8,cci_check_hash,e8bd67824f18
CLIMATOLOGY,2013,8,caseD_hfi_hash_CCI_CS2,dc93746158b5
CLIMATOLOGY,2013,9,ref_hs_source,"DICT:climatology[(2013, 9)]"
CLIMATOLOGY,2013,9,ref_hs_hash,e9a4a42d5320
CLIMATOLOGY,2013,9,ref_hs_summary,n=7816 mean=0.1507 std=0.0804
CLIMATOLOGY,2013,9,cci_check_hash,d8798046013f
CLIMATOLOGY,2013,9,caseD_hfi_hash_CCI_CS2,8c3d65f0e2c0
CLIMATOLOGY,2013,10,ref_hs_source,"DICT:climatology[(2013, 10)]"
CLIMATOLOGY,2013,10,ref_hs_hash,9ede449624cd
CLIMATOLOGY,2013,10,ref_hs_summary,n=6932 mean=0.1504 std=0.0868
CLIMATOLOGY,2013,10,cci_check_hash,a2aa9883db02
CLIMATOLOGY,2013,10,caseD_hfi_hash_CCI_CS2,e04105637d1d
CLIMATOLOGY,2014,5,ref_hs_source,"DICT:climatology[(2014, 5)]"
CLIMATOLOGY,2014,5,ref_hs_hash,8474e9083806
CLIMATOLOGY,2014,5,ref_hs_summary,n=4725 mean=0.1324 std=0.0850
