case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
A,2013,6,CCI_CS2,Western_Pacific,392,0.12203109264373779,0.03264787793159485,0.15467897057533264
A,2013,6,CCI_CS2,Ross,1198,0.0783654972910881,0.03719942644238472,0.11556492000818253
A,2013,6,CCI_CS2,Amundsen_Bellingshausen,636,0.04889313504099846,0.03917098417878151,0.08806411921977997
B,2013,6,CCI_CS2,Western_Weddell,499,0.11345311254262924,0.08100642263889313,0.19445954263210297
B,2013,6,CCI_CS2,Eastern_Weddell,1007,0.08895371109247208,0.04058920964598656,0.12954291701316833
B,2013,6,CCI_CS2,Indian,680,0.03174977749586105,0.024439683184027672,0.056189462542533875
B,2013,6,CCI_CS2,Western_Pacific,392,0.12203109264373779,0.03264787793159485,0.15467897057533264
B,2013,6,CCI_CS2,Ross,1198,0.0783654972910881,0.03719942644238472,0.11556492000818253
B,2013,6,CCI_CS2,Amundsen_Bellingshausen,636,0.04889313504099846,0.03917098417878151,0.08806411921977997
C,2013,6,CCI_CS2,Western_Weddell,499,0.11345311254262924,0.08100642263889313,0.19445954263210297
C,2013,6,CCI_CS2,Eastern_Weddell,1007,0.08895371109247208,0.04058920964598656,0.12954291701316833
C,2013,6,CCI_CS2,Indian,680,0.03174977749586105,0.024439683184027672,0.056189462542533875
C,2013,6,CCI_CS2,Western_Pacific,392,0.12203109264373779,0.03264787793159485,0.15467897057533264
C,2013,6,CCI_CS2,Ross,1198,0.0783654972910881,0.03719942644238472,0.11556492000818253
C,2013,6,CCI_CS2,Amundsen_Bellingshausen,636,0.04889313504099846,0.03917098417878151,0.08806411921977997
D,2013,6,CCI_CS2,Western_Weddell,499,0.11345311254262924,0.08100642263889313,0.19445954263210297
D,2013,6,CCI_CS2,Eastern_Weddell,1007,0.08895371109247208,0.04058920964598656,0.12954291701316833
D,2013,6,CCI_CS2,Indian,680,0.03174977749586105,0.024439683184027672,0.056189462542533875
D,2013,6,CCI_CS2,Western_Pacific,392,0.12203109264373779,0.03264787793159485,0.15467897057533264
D,2013,6,CCI_CS2,Ross,1198,0.0783654972910881,0.03719942644238472,0.11556492000818253
D,2013,6,CCI_CS2,Amundsen_Bellingshausen,636,0.04889313504099846,0.03917098417878151,0.08806411921977997
A,2013,6,LEGOS_I_CS2,Western_Weddell,499,0.16573873162269592,0.08049504458904266,0.24720580875873566
